code,country,total_population,coastal_population,plastic_waste_per_capita,plastic_waste_total,inadequately_managed_plastic,fish_consumption,gdp
LBN,lebanon,4181742,4098800,0.094,148807,34,12.2,38419626628
LBR,liberia,3821498,2530750,0.084,121050,84,4.34,1292697100
LTU,lithuania,3162916,770246,0.132,149227,14,42.91,37120517694
MDG,madagascar,20495706,9976790,0.016,123526,84,5.67,8729936136
MYS,malaysia,27661017,26007000,0.198,2031675,55,60.55,2.55017E+11
MDV,maldives,360000,307862,0.322,43134,66,191.75,2588176058
MLT,malta,412477,406562,0.214,32377,6,30.89,8741059603
MRT,mauritania,3501927,1036890,0.045,59287,82,9.8,4343665075
MUS,mauritius,1247429,1261230,0.23,104971,51,21.69,10003670690
MEX,mexico,116815612,31664500,0.087,3725463,12,12.13,1.05113E+12
MNE,montenegro,618294,465983,0.144,32557,30,10.68,4139192053
MAR,morocco,31714958,20392200,0.073,863555,66,14.71,93216746662
MOZ,mozambique,23647815,12039600,0.015,132612,84,7.26,10154238250
MMR,myanmar,51369725,22815100,0.075,1373018,87,50.49,49540813342
NAM,namibia,2152357,112320,0.144,114222,66,13.08,11282192605
NLD,netherlands,16530388,15422500,0.424,2571398,0,23.37,8.3639E+11
NZL,new-zealand,4302600,4136310,0.331,525630,0,25.93,1.46581E+11
NIC,nicaragua,5666595,3925220,0.143,299480,45,5.02,8758622329
NGA,nigeria,155207145,40329100,0.103,5961750,81,15.16,3.69062E+11
NOR,norway,4828726,4428820,0.28,499682,0,54.11,4.29131E+11
OMN,oman,2762073,2331220,0.084,93251,4,27.77,58641621847
PAK,pakistan,166520983,14939900,0.103,6412210,86,1.94,1.77407E+11
PAN,panama,3559401,3339850,0.145,192818,18,13.71,28917200000
PER,peru,29001563,16396100,0.144,1543879,25,22.06,1.47529E+11
PHL,philippines,91641881,87906100,0.075,2565766,81,34.88,1.99591E+11
POL,poland,38151603,4910160,0.097,1346905,12,10.52,4.79258E+11
PRT,portugal,10568247,9588570,0.265,1022683,0,56.1,2.38303E+11
ROU,romania,20367487,1682100,0.042,310385,26,6.17,1.67998E+11
RUS,russian-federation,142785342,17948700,0.112,5839685,16,22.33,1.52492E+12
WSM,samoa,184700,186841,0.103,7000,80,46.71,643046733.4
STP,sao-tome-and-principe,167196,157763,0.103,6571,81,27.4,197454053.1
SAU,saudi-arabia,27409491,12122600,0.156,1561618,8,11.34,5.28207E+11
SEN,senegal,12581624,10123600,0.103,485586,82,23.97,12948906289
SLE,sierra-leone,5647194,3734760,0.041,96655,84,34.09,2616610911
SVN,slovenia,2039669,1148150,0.145,108421,1,11.06,48013606745
SLB,solomon-islands,514767,497667,0.103,19842,86,35.84,671585343.2
ZAF,south-africa,50020918,18372300,0.24,4465798,54,5.86,3.75298E+11
ESP,spain,46362946,29886300,0.277,4709157,0,42.42,1.43162E+12
LKA,sri-lanka,19967000,18977200,0.357,2621606,82,24.14,56725745039
KNA,st-kitts-and-nevis,51717,50418,0.654,12280,6,39,705015370.4
LCA,st-lucia,175196,165094,0.522,32882,20,24.84,1381968259
VCT,st-vincent-and-the-grenadines,109255,122483,0.221,8818,21,18.35,681225963
SUR,suriname,512522,438188,0.163,31300,15,17.21,4368398048
SWE,sweden,9298515,8122440,0.048,164305,0,31.21,4.88378E+11
TZA,tanzania,44222113,8060110,0.023,386998,84,6.27,31407908612
THA,thailand,66548197,26222900,0.144,3532495,73,24.45,3.41105E+11
TGO,togo,6219761,2970780,0.057,135294,84,11.05,3172945645
TTO,trinidad-and-tobago,1321624,1333310,3.6,1745123,3,19.86,22157948396
TUN,tunisia,10439600,8889040,0.144,559235,60,12.81,44050929160
TUR,turkey,71261307,43276600,0.212,5596657,16,6.87,7.71877E+11
UKR,ukraine,46053300,9794700,0.103,1724509,49,13.7,1.36013E+11
ARE,united-arab-emirates,7705423,4292730,0.199,600741,0,23.96,2.8988E+11
GBR,united-kingdom,62276270,60141100,0.215,4925590,0,19.65,2.44117E+12
USA,united-states,306771529,132648000,0.335,37825550,0,21.77,1.49644E+13
URY,uruguay,3362761,2725430,0.252,310379,8,5.41,40284481662
VUT,vanuatu,230782,224161,0.295,25443,81,33.32,700804286.2
VNM,vietnam,86025000,72979200,0.103,3268227,86,33.9,1.15932E+11
